구분,경기장,종목,위치,위도,경도,전화번호,상세정보,데이터기준일자
게이트볼장,보성리전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 대정읍 추사로 93-11,33.25104042,126.2726369,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,태흥리농어촌복합체육시설,게이트볼,제주특별자치도 서귀포시 남원읍 태위로 988-5,33.28836924,126.7503718,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,성산읍전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 서성일로 1222번길 36,33.4447515,126.9096023,064-760-4218,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,성산서부전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 신난로 16,33.3869011,126.8794453,064-760-4218,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,표선전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 표선면 한마음초등로 396,33.3531879,126.813389,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,대정전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 최남단해안로 109번길 67,33.2175717,126.2542892,064-760-4018,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,남원위미전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 위미중앙로 196번길 22-24,33.2706916,126.662023,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,남원전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 남원읍 태위로 551-27,33.27788286,126.7034071,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,중문동전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 색달로 199-22,33.26436622,126.4247975,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,강정동전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 강정통물로 55,33.23284637,126.4747332,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,예래전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 하예로 19번길 67,33.24509351,126.3805657,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,제주전지훈련센터 전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 남원읍 신례로 96,33.27680559,126.6409081,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,서귀포시전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 서홍로 40,33.25097102,126.5537156,064-763-0700,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,서귀포혁신도시 국민체육센터,체력단련,제주특별자치도 서귀포시 서호남로 19-30,33.2525461,126.5161895,064-760-3640,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,서귀포국민체육센터,수영·헬스,제주특별자치도 서귀포시 중문관광로 346,33.25090559,126.4323801,064-739-0363,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,제주공천포전지훈련 센터다목적 체육관,핸드볼+농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 남원읍 신례로 96,33.27680559,126.6409081,064-760-3626,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,서귀포생활 체육문화체육센터,체력단련,제주특별자치도 서귀포시 월드컵로 33,33.24621974,126.5092777,064-760-3633,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,대정문화체육센터,특이사항없음,제주특별자치도 서귀포시 대정읍 암반수마농로 419,33.2633581,126.2329451,064-760-3651,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,성산국민체육센터,농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 성산읍 일주동로 4024,33.4667584,126.904899,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,효돈생활체육관,농구+배구+배드민턴+핸드볼경기장+문화및집회시설,제주특별자치도 서귀포시 하신상로 25,33.26302966,126.6170655,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,안덕생활체육관,농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 안덕면 화순서서로 59,33.25609299,126.3284065,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,동홍생활체육관,농구+배구+배드민턴+핸드볼경기장+문화및집회시설,제주특별자치도 서귀포시 중앙로 140,33.25717651,126.5635014,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,올림픽기념국민생활관,농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 중산간서로 97,33.26118028,126.4995094,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,표선생활체육관,농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 표선면 한마음초등로 399,33.3544931,126.8124756,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,남원생활체육관,농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 태위로 551-27,33.2779527,126.7022707,064-760-3652,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,예래동축구공원,축구,제주특별자치도 서귀포시 하예로19번길 53-12,33.24435316,126.3818113,064-738-5230,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,일출고성운동장,축구,제주특별자치도 서귀포시 고성리 1035,33.443552,126.911425,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,표선인조잔디축구장,축구,제주특별자치도 서귀포시 표선면 한마음초등로 399,33.35426414,126.8143923,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,삼다체육공원 축구장,축구,제주특별자치도 서귀포시 서호남로 19-30,33.251537,126.516461,064-733-9616,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,제주공천포 전지훈련 센터인조 구장,축구,제주특별자치도 서귀포시 신례로 96,33.2771222,126.6391669,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,제주유나이티드전용구장,축구,제주특별자치도 서귀포시 일주서로 166 (강정동),33.252465,126.490505,064-738-0934,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,효돈축구공원,축구,제주특별자치도 서귀포시 효돈순환로 311-29,33.25836365,126.6103678,064-733-4783,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,걸매축구장,축구,제주특별자치도 서귀포시 서홍동 477-1,33.2496866,126.5518466,064-760-3319,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,중문단지축구장,축구,제주특별자치도 서귀포시 이어도로 120-73 (대포동),33.2347698,126.4309971,064-738-3644,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,시민축구장,축구,제주특별자치도 서귀포시 토평남로 47-13,33.26234313,126.5895294,064-733-9126,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
축구장,제주월드컵경기장,문화및집회시설,제주특별자치도 서귀포시 월드컵로 33,33.24621974,126.5092777,064-760-3623,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
야구장,서귀포생활야구장,야구,제주특별자치도 서귀포시 중산간서로 95,33.260185,126.503858,064-739-4782,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
야구장,제주공천포전지훈련센터야구장,야구,제주특별자치도 서귀포시 남원읍 신례로 96,33.27680559,126.6409081,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
야구장,서귀포야구장 (어린이),야구,제주특별자치도 서귀포시 중산간서로 95,33.259873,126.5017749,064-739-4782,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
야구장,서귀포야구장 (성인),야구,제주특별자치도 서귀포시 중산간서로 95,33.259873,126.5017749,064-739-4782,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
롤러스케이트장,서귀포 인라인롤러장,롤러스케이트,제주특별자치도 서귀포시 중산간서로 95,33.259873,126.5017749,064-760-3626,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
궁도장,백록정,궁도,제주특별자치도 서귀포시 검은여로 2-72,33.24360091,126.5887071,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
궁도장,산방정,궁도,제주특별자치도 서귀포시 안덕면 일주서로 1836,33.25413034,126.3222876,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
궁도장,삼다정,궁도,제주특별자치도 서귀포시 남원읍 중산간동로 6575-17,33.30038644,126.6839356,064-760-3652,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
궁도장,서귀포 궁도장 (천지정),궁도,제주특별자치도 서귀포시 중산간서로 97-40,33.25923015,126.4979666,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
테니스장,성산국민체육센터 테니스장,테니스,제주특별자치도 서귀포시 성산읍 오조리 1365-1,33.467204,126.9027628,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
테니스장,표선생활체육 테니스장,테니스,제주특별자치도 서귀포시 표선면 하천리 1832-1,33.3544931,126.8124756,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
테니스장,제주공천포 전지훈련센터 테니스장,테니스,제주특별자치도 서귀포시 신례로 96,33.2771222,126.6391669,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
테니스장,서귀포 테니스장,테니스,제주특별자치도 서귀포시 동홍로 99번길 36,33.25759736,126.5642119,064-763-2662,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
마라톤센터,동아마라톤센터,선수숙소+구내식당,제주특별자치도 서귀포시 중산간서로 95-1,33.25725332,126.5005363,064-760-3626,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
전천후실내육상연습장,전천후실내육상연습장,육상,제주특별자치도 서귀포시 중산간서로 95,33.259873,126.5017749,064-739-4781,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
실내암장,서귀포시 실내암장,실내암장,제주특별자치도 서귀포시 월드컵로 31,33.24706692,126.507363,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
파크골프장,월라봉 파크골프장,골프,제주특별자치도 서귀포시 신효동 1188-5,33.2665345,126.6053556,064-760-4626,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
파크골프장,칠십리 파크골프장,골프,제주특별자치도 서귀포시 서홍동 576-9 ,33.247229,126.553626,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
파크골프장,강창학 파크골프장,골프,제주특별자치도 서귀포시 강정동 1353,33.2573135,126.4996953,064-760-3637,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,표선생활 체육관 주경기장,다종목,제주특별자치도 서귀포시 표선면 한마음초등로 399,33.35426414,126.8143923,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,안덕생활 체육관 주경기장,다종목,제주특별자치도 서귀포시 안덕면 화순문화로 22번길 15-1,33.25497636,126.3266594,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,성산국민 체육센터 주경기장,다종목,제주특별자치도 서귀포시 성산읍 일주동로 4024,33.4667584,126.904899,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,대정문화 체육센터 주경기장,다종목,제주특별자치도 서귀포시 대정읍 암반수마농로 419,33.26392712,126.2355124,064-760-3651,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,남원생활 체육관 주경기장,다종목,제주특별자치도 서귀포시 남원읍 태위로 551-27,33.27788286,126.7034071,064-760-3652,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,제주공천포전지훈련 센터 주경기장,전지훈련장,제주특별자치도 서귀포시 신례로 96,33.2771222,126.6391669,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,강창학 종합B구장,문화+집회시설및체육시설,제주특별자치도 서귀포시 중산간서로 95,33.259873,126.5017749,064-739-4781,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
종합경기장,강창학 종합A구장,문화+집회시설및체육시설,제주특별자치도 서귀포시 중산간서로 95,33.259873,126.5017749,064-739-4781,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
